Chico State Project ID,Original Chico State seq. no.,ICP-MS ID,Burned,Urban,Watershed Full,Watershed,Location on Label,Location,USGS Station name,Date Sampled,Time,Date & Time Sampled,Total vs. Dissolved Metals,Sample Name,Run Date,Dilution Factor,Metal,Concentration (ppb)
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Zn,4.093750495
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,As,0.46308113
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Se,-0.027774232
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Cd,0.002166127
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Ba,30.39648406
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Tl,0.001198759
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Pb,0.122481009
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,U,0.064084207
CF4004,4,CF4004T,Partially,Partially,Dry Creek Clark/191,Dry Creek,Dry Creek,Dry Cr @ Hwy 191,Dry Cr @ Hwy 191,11/21/18,1:10 PM,11/21/18 13:10,Total,CF4004T,3/11/20,1,Na,6926.30869
CF4004,4,CF4004T,Partially,Partially,Dry Creek Clark/191,Dry Creek,Dry Creek,Dry Cr @ Hwy 191,Dry Cr @ Hwy 191,11/21/18,1:10 PM,11/21/18 13:10,Total,CF4004T,3/11/20,1,Mg,11420.08032
CF4004,4,CF4004T,Partially,Partially,Dry Creek Clark/191,Dry Creek,Dry Creek,Dry Cr @ Hwy 191,Dry Cr @ Hwy 191,11/21/18,1:10 PM,11/21/18 13:10,Total,CF4004T,3/11/20,1,Al,30.40081775
CF4004,4,CF4004T,Partially,Partially,Dry Creek Clark/191,Dry Creek,Dry Creek,Dry Cr @ Hwy 191,Dry Cr @ Hwy 191,11/21/18,1:10 PM,11/21/18 13:10,Total,CF4004T,3/11/20,1,K,1693.818868
CF4004,4,CF4004T,Partially,Partially,Dry Creek Clark/191,Dry Creek,Dry Creek,Dry Cr @ Hwy 191,Dry Cr @ Hwy 191,11/21/18,1:10 PM,11/21/18 13:10,Total,CF4004T,3/11/20,1,Ca,17909.4244
CF4004,4,CF4004T,Partially,Partially,Dry Creek Clark/191,Dry Creek,Dry Creek,Dry Cr @ Hwy 191,Dry Cr @ Hwy 191,11/21/18,1:10 PM,11/21/18 13:10,Total,CF4004T,3/11/20,1,Cr,0.859284916
CF4004,4,CF4004T,Partially,Partially,Dry Creek Clark/191,Dry Creek,Dry Creek,Dry Cr @ Hwy 191,Dry Cr @ Hwy 191,11/21/18,1:10 PM,11/21/18 13:10,Total,CF4004T,3/11/20,1,V,1.15221072
